timestamp,device_id,measurement_value
2025-11-18T11:44:31,10,0.5034
2025-11-18T11:45:31,10,0.4529
2025-11-18T11:46:12,10,0.4539
2025-11-18T11:47:12,10,0.4338
2025-11-18T11:48:12,10,0.4219
2025-11-18T11:49:12,10,0.4726
2025-11-18T11:50:12,10,0.4569
2025-11-22T13:37:28,10,0.5269
2025-11-22T13:37:37,10,0.3755
2025-11-22T13:38:31,10,0.3389
2025-11-22T13:39:31,10,0.3909
2025-11-22T13:40:31,10,0.375
2025-11-22T13:50:48,10,0.2755
2025-11-22T14:32:26,10,0.4903
2025-11-22T14:42:26,10,0.4957
2025-11-22T14:52:07,10,0.5254
2025-11-22T14:58:11,10,0.3366
2025-11-22T15:17:41,10,0.5803
2025-11-22T15:27:41,10,0.5226
2025-11-22T15:37:41,10,0.5362
2025-11-22T15:47:41,10,0.5098
2025-11-22T15:57:41,10,0.4646
2025-11-22T16:07:41,10,0.5072
2025-11-22T16:17:41,10,0.596
2025-11-22T16:27:41,10,0.5283
2025-11-22T16:37:41,10,0.6198
2025-11-22T16:47:41,10,0.5715
2025-11-22T16:57:41,10,0.5747
2025-11-22T17:07:41,10,0.7833
2025-11-22T17:17:41,10,0.8194
2025-11-22T17:27:42,10,0.7069
2025-11-22T17:37:42,10,0.9211
2025-11-22T17:47:42,10,0.8425
2025-11-22T17:57:42,10,0.7741
2025-11-22T18:07:42,10,0.7749
2025-11-22T18:17:42,10,0.7397
2025-11-22T18:27:42,10,0.8381
2025-11-22T18:37:42,10,0.8338
2025-11-22T18:47:42,10,0.806
2025-11-22T19:16:20,10,0.9059
2025-11-22T19:26:20,10,0.8941
2025-11-22T19:36:20,10,0.8533
2025-11-22T19:46:20,10,0.8046
2025-11-22T19:56:20,10,0.8205
2025-11-22T20:06:20,10,0.6987
2025-11-22T20:16:20,10,0.8115
2025-11-22T20:44:55,10,0.7639
2025-11-22T20:54:55,10,0.8533
2025-11-22T21:04:55,10,0.8732
2025-11-22T21:14:55,10,0.8581
2025-11-22T21:24:55,10,0.8603
2025-11-22T21:34:55,10,0.8415
2025-11-22T21:44:55,10,0.7709
2025-11-22T21:54:55,10,0.7343
2025-11-22T22:04:55,10,0.901
2025-11-22T22:14:55,10,0.8094
2025-11-22T22:24:55,10,0.9594
2025-11-22T22:34:55,10,0.6963
2025-11-22T22:44:55,10,0.7909
2025-11-24T22:03:26,10,0.5803
2025-11-24T22:10:12,10,0.6835
2025-11-24T22:20:12,10,0.6207
2025-11-25T14:40:11,10,0.3223
2025-11-25T14:50:11,10,0.3618
2025-11-25T15:00:11,10,0.3413
2025-11-25T15:10:11,10,0.336
2025-11-25T15:20:11,10,0.2805
2025-11-25T15:30:11,10,0.3191
2025-11-25T15:40:12,10,0.2782
2025-11-25T15:50:12,10,0.3629
2025-11-25T16:00:12,10,0.3926
2025-11-25T16:10:12,10,0.3925
2025-11-25T16:20:12,10,0.3235
2025-11-25T16:30:12,10,0.3211
2025-11-25T16:40:12,10,0.3301
2025-11-25T16:50:12,10,0.3887
2025-11-25T17:00:12,10,0.4151
